ColorCombinationID,PrimaryColor,SecondaryColor,AccentColor,Mood,MoodIntensity,Description
1,Light Blue,Green,White,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
2,Purple,Black,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
3,White,Beige,Brown,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
4,Black,Orange,Grey,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
5,Orange,Purple,Black,Energetic,7,Red is vibrant and associated with high energy.
6,Yellow,Green,Pink,Neutral,5,Neutral tones provide balance without strong mood influence.
7,Dark Blue,Orange,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
8,White,Grey,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
9,Grey,Grey,Orange,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
10,Light Blue,Green,Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
11,White,Dark Blue,Grey,Energetic,7,Red is vibrant and associated with high energy.
12,Light Blue,Brown,Silver,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
13,Beige,Orange,Green,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
14,Brown,Brown,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
15,Brown,Black,Pink,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
16,Silver,Red,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
17,Blue,Red,Orange,Neutral,5,Neutral tones provide balance without strong mood influence.
18,Orange,Silver,Light Blue,Happy,9,Bright colors like yellow are often linked to happiness.
19,Brown,Yellow,White,Neutral,5,Neutral tones provide balance without strong mood influence.
20,Black,Silver,Black,Bold,9,"Strong contrasts create a bold, intense impression."
21,Silver,White,Beige,Energetic,7,Red is vibrant and associated with high energy.
22,Silver,Silver,Pink,Happy,9,Bright colors like yellow are often linked to happiness.
23,Orange,Yellow,Red,Calm,8,Cool colors promote calmness and relaxation.
24,Dark Blue,Grey,Pink,Happy,9,Bright colors like yellow are often linked to happiness.
25,Brown,Orange,Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
26,Light Blue,Dark Blue,White,Bold,9,"Strong contrasts create a bold, intense impression."
27,White,Grey,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
28,Green,White,Purple,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
29,Silver,Light Blue,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
30,Purple,Light Blue,Dark Blue,Calm,8,Cool colors promote calmness and relaxation.
31,Yellow,Black,Purple,Neutral,5,Neutral tones provide balance without strong mood influence.
32,Green,Red,Light Blue,Calm,8,Cool colors promote calmness and relaxation.
33,Yellow,Grey,Green,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
34,Brown,Green,Silver,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
35,Grey,Pink,Red,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
36,Beige,Orange,Dark Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
37,Brown,White,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
38,Grey,White,Yellow,Neutral,5,Neutral tones provide balance without strong mood influence.
39,Brown,Light Blue,Brown,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
40,Orange,Purple,Dark Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
41,White,Light Blue,Beige,Neutral,5,Neutral tones provide balance without strong mood influence.
42,Beige,Pink,Pink,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
43,White,Dark Blue,Pink,Calm,8,Cool colors promote calmness and relaxation.
44,Purple,Orange,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
45,Purple,White,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
46,Grey,Pink,Orange,Energetic,7,Red is vibrant and associated with high energy.
47,Red,Blue,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
48,Black,Pink,Light Blue,Happy,9,Bright colors like yellow are often linked to happiness.
49,Grey,Light Blue,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
50,Light Blue,Silver,Dark Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
51,Blue,Silver,Grey,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
52,Red,Yellow,Black,Neutral,5,Neutral tones provide balance without strong mood influence.
53,Green,Silver,Green,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
54,Pink,White,Silver,Energetic,7,Red is vibrant and associated with high energy.
55,Grey,Yellow,Purple,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
56,Beige,Purple,Light Blue,Energetic,7,Red is vibrant and associated with high energy.
57,Pink,Red,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
58,Beige,Light Blue,Grey,Calm,8,Cool colors promote calmness and relaxation.
59,Yellow,Yellow,Purple,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
60,Grey,Orange,Green,Calm,8,Cool colors promote calmness and relaxation.
61,Yellow,Brown,Red,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
62,Beige,White,Brown,Energetic,7,Red is vibrant and associated with high energy.
63,Yellow,Light Blue,Pink,Calm,8,Cool colors promote calmness and relaxation.
64,Black,Brown,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
65,Pink,Green,Green,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
66,Beige,White,Red,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
67,Blue,White,Dark Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
68,White,Grey,Yellow,Neutral,5,Neutral tones provide balance without strong mood influence.
69,Grey,Yellow,Light Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
70,Silver,Beige,Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
71,Yellow,Red,Red,Energetic,7,Red is vibrant and associated with high energy.
72,Grey,Purple,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
73,Green,Purple,Pink,Happy,9,Bright colors like yellow are often linked to happiness.
74,Grey,Black,Green,Calm,8,Cool colors promote calmness and relaxation.
75,Orange,Blue,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
76,Yellow,White,Blue,Calm,8,Cool colors promote calmness and relaxation.
77,Orange,Grey,Grey,Energetic,7,Red is vibrant and associated with high energy.
78,Purple,Pink,Beige,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
79,Yellow,Orange,Black,Energetic,7,Red is vibrant and associated with high energy.
80,Silver,Blue,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
81,Silver,Beige,Orange,Energetic,7,Red is vibrant and associated with high energy.
82,Green,Red,White,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
83,Blue,Pink,Purple,Neutral,5,Neutral tones provide balance without strong mood influence.
84,Black,White,Beige,Energetic,7,Red is vibrant and associated with high energy.
85,Blue,Silver,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
86,White,Black,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
87,White,Yellow,Green,Energetic,7,Red is vibrant and associated with high energy.
88,Purple,Light Blue,Brown,Bold,9,"Strong contrasts create a bold, intense impression."
89,Pink,Purple,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
90,Light Blue,Brown,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
91,Beige,Orange,Purple,Energetic,7,Red is vibrant and associated with high energy.
92,Red,White,Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
93,Brown,Red,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
94,Pink,Purple,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
95,Green,Silver,Dark Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
96,Green,Beige,Silver,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
97,Dark Blue,Black,Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
98,Dark Blue,Purple,Green,Neutral,5,Neutral tones provide balance without strong mood influence.
99,Green,Grey,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
100,Orange,Beige,Yellow,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
101,White,Beige,Orange,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
102,Dark Blue,Green,Orange,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
103,Orange,Blue,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
104,Light Blue,Orange,Green,Calm,8,Cool colors promote calmness and relaxation.
